Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-03-13,156.67077905735638,156.67077905735638,146.29013848177695,149.88491821289062,3408600,0.0,0.0
2008-03-14,149.94258093868632,156.26708680226366,144.1755585948907,154.52735900878906,2216056,0.0,0.0
2008-03-17,148.98139606988616,153.34511156589517,147.77993319835483,152.2205352783203,1958904,0.0,0.0
2008-03-18,151.8648736746948,159.32355119970606,148.02019332849997,157.18975830078125,3596080,0.0,0.0
2008-03-19,159.16979830530695,161.47660697639836,154.85414140319966,155.9883270263672,4361924,0.0,0.0
2008-03-24,155.98830333854474,160.9959973883148,155.98830333854474,158.34317016601562,3301984,0.0,0.0
2008-03-25,161.47660581302588,172.98180928398975,160.5154355403293,168.49314880371094,2928896,0.0,0.0
2008-03-26,180.69998747818585,180.69998747818585,163.6968852459987,168.8487548828125,2171768,0.0,0.0
2008-03-27,167.62804910877932,168.39698511386547,161.68801377627597,163.87948608398438,6151152,0.0,0.0
2008-03-28,163.9756129844808,168.14709341052847,163.78337897160333,167.4454345703125,3633696,0.0,0.0
2008-03-31,167.44547618403502,167.44547618403502,153.2105463393856,155.7960968017578,4051860,0.0,0.0
2008-04-01,157.6319110299737,163.95641556817063,155.7095706515594,160.00599670410156,2086728,0.0,0.0
2008-04-02,163.3989438856576,167.0513908666311,163.25476834693492,163.6392364501953,1428844,0.0,0.0
2008-04-03,163.39895014570817,171.4727806234961,163.39895014570817,170.20404052734375,3287172,0.0,0.0
2008-04-04,170.31936296751257,171.06908043225397,165.3308871795885,167.8011016845703,2020844,0.0,0.0
2008-04-07,172.04939694280085,176.87446472250988,168.81986870992188,173.79872131347656,3659528,0.0,0.0
2008-04-08,173.97180821925912,174.35627630372156,168.20478695232234,170.57887268066406,4055352,0.0,0.0
2008-04-09,169.16596129413335,171.4727698572352,167.0513867779567,168.44508361816406,1482600,0.0,0.0
2008-04-10,169.16596005747505,176.7880446555514,168.58925792091546,172.92413330078125,2925932,0.0,0.0
2008-04-11,173.5969468492549,177.81648635864258,171.71305561065674,174.5485076904297,2189264,0.0,0.0
2008-04-15,177.23977636879707,189.35052030722898,169.24284538203028,187.26478576660156,5703772,0.0,0.0
2008-04-16,189.35052125428842,192.61849979370254,184.92913852449286,186.83226013183594,6438768,0.0,0.0
2008-04-17,192.17637551715308,194.15638381739677,188.30285484976037,192.4070587158203,3999556,0.0,0.0
2008-04-21,193.96414786776936,198.9622329466217,189.6581006450827,190.96530151367188,3399296,0.0,0.0
2008-04-22,189.34097774043474,189.34097774043474,169.550474945282,170.5500946044922,13785196,0.0,0.0
2008-04-23,170.51160359529084,174.1063827031515,169.1755745914264,170.92491149902344,6326156,0.0,0.0
2008-04-24,173.77956862962216,173.9525839553212,166.09020718583358,171.2324676513672,15290096,0.0,0.0
2008-04-25,175.31748185400002,175.31748185400002,170.12716166753293,170.95376586914062,6828568,0.0,0.0
2008-04-28,155.51737729784347,172.24174296522588,138.4085434541994,169.4927978515625,6598136,0.0,0.0
2008-04-29,169.5600411332757,178.7776661598446,167.27246298244935,175.03871154785156,16209848,0.0,0.0
2008-04-30,176.10562527641235,179.88302941172182,174.26018291394692,177.04757690429688,9487980,0.0,0.0
2008-05-02,177.81649477118688,184.92915456203437,177.6242607227856,181.42088317871094,5298780,0.0,0.0
2008-05-05,181.661180884325,182.52623412663132,177.0764033933158,178.2874755859375,3613764,0.0,0.0
2008-05-06,174.93302009486715,182.62238361552065,167.74346050984107,180.13294982910156,3982796,0.0,0.0
2008-05-07,182.6223195354421,188.37012144350786,182.6223195354421,185.8422393798828,12585540,0.0,0.0
2008-05-08,185.4865864653695,185.5058051716564,176.47080740681923,182.04559326171875,10845832,0.0,0.0
2008-05-09,184.35245566331704,184.35245566331704,174.9329871257753,176.27862548828125,4492296,0.0,0.0
2008-05-12,176.27859543747567,179.7099679836941,174.99062516346325,178.1817169189453,3898508,0.0,0.0
2008-05-13,178.77762505969145,180.9690974149265,170.8960308366298,173.98138427734375,4462876,0.0,0.0
2008-05-14,173.97186536417274,188.1875798032452,171.30942769794757,186.6881561279297,9373188,0.0,0.0
2008-05-15,187.04372495683688,192.6185122371537,184.56390109410268,189.30247497558594,7177896,0.0,0.0
2008-05-16,191.08068131672192,191.08068131672192,186.17871212801327,188.59124755859375,3838648,0.0,0.0
2008-05-20,187.42822695388153,190.3117381377874,182.09373126365568,183.7949981689453,4946904,0.0,0.0
2008-05-21,178.3932359055964,186.08259952221695,175.89419273019473,185.52511596679688,3140184,0.0,0.0
2008-05-22,183.8718844860404,189.44667241086543,182.81459712098734,184.76577758789062,5445200,0.0,0.0
2008-05-23,187.40905564565637,188.3317771113078,178.02802083458687,179.23910522460938,5401384,0.0,0.0
2008-05-26,176.85527037561357,185.1021132200369,176.08633441745874,183.6699676513672,5457272,0.0,0.0
2008-05-27,188.3893780814438,191.08065491117873,181.8534200663733,186.25558471679688,5682072,0.0,0.0
