,Open,Date,Sector
129,887.4805202731839,2022-03-25 00:00:00,Financial Services
130,891.194826596743,2022-03-28 00:00:00,Financial Services
131,873.116887080205,2022-03-29 00:00:00,Financial Services
132,884.4935231394581,2022-03-30 00:00:00,Financial Services
133,880.7792366325081,2022-03-31 00:00:00,Financial Services
134,879.7402914468344,2022-04-01 00:00:00,Financial Services
135,878.5195090553977,2022-04-04 00:00:00,Financial Services
136,869.220783184101,2022-04-05 00:00:00,Financial Services
137,875.8701274921368,2022-04-06 00:00:00,Financial Services
138,867.4545486252028,2022-04-07 00:00:00,Financial Services
139,871.1688549487621,2022-04-08 00:00:00,Financial Services
140,878.2077739765117,2022-04-11 00:00:00,Financial Services
141,871.1168561662946,2022-04-12 00:00:00,Financial Services
142,861.3506366680194,2022-04-13 00:00:00,Financial Services
143,855.3246832513189,2022-04-14 00:00:00,Financial Services
144,7023.7259487507245,2022-02-24 00:00:00,Basic Materials
145,7142.2697856948425,2022-02-25 00:00:00,Basic Materials
146,7307.200897530729,2022-02-28 00:00:00,Basic Materials
147,7544.288683079596,2022-03-01 00:00:00,Basic Materials
148,7888.323310054471,2022-03-02 00:00:00,Basic Materials
149,8015.886887719297,2022-03-03 00:00:00,Basic Materials
150,7937.28745023225,2022-03-04 00:00:00,Basic Materials
151,7924.401926030233,2022-03-07 00:00:00,Basic Materials
152,7662.832112662703,2022-03-08 00:00:00,Basic Materials
153,7586.80951376284,2022-03-09 00:00:00,Basic Materials
154,7155.844155844156,2022-03-10 00:00:00,Basic Materials
155,7257.142857142857,2022-03-11 00:00:00,Basic Materials
156,7171.428571428572,2022-03-14 00:00:00,Basic Materials
157,6679.220779220779,2022-03-15 00:00:00,Basic Materials
158,7064.9350649350645,2022-03-16 00:00:00,Basic Materials
159,7070.12987012987,2022-03-17 00:00:00,Basic Materials
160,7394.805194805194,2022-03-18 00:00:00,Basic Materials
161,7268.831168831169,2022-03-21 00:00:00,Basic Materials
162,7564.935064935064,2022-03-22 00:00:00,Basic Materials
163,7467.532467532467,2022-03-23 00:00:00,Basic Materials
164,7653.246753246753,2022-03-24 00:00:00,Basic Materials
165,7610.38961038961,2022-03-25 00:00:00,Basic Materials
166,7772.727272727273,2022-03-28 00:00:00,Basic Materials
167,7684.415584415584,2022-03-29 00:00:00,Basic Materials
168,7732.467532467533,2022-03-30 00:00:00,Basic Materials
169,7963.636363636363,2022-03-31 00:00:00,Basic Materials
170,7909.090909090909,2022-04-01 00:00:00,Basic Materials
171,8077.922077922078,2022-04-04 00:00:00,Basic Materials
172,7971.428571428572,2022-04-05 00:00:00,Basic Materials
173,7881.818181818182,2022-04-06 00:00:00,Basic Materials
174,7920.779220779221,2022-04-07 00:00:00,Basic Materials
175,7988.311688311688,2022-04-08 00:00:00,Basic Materials
176,7972.727272727273,2022-04-11 00:00:00,Basic Materials
177,7884.415584415584,2022-04-12 00:00:00,Basic Materials
178,8032.467532467533,2022-04-13 00:00:00,Basic Materials
179,8025.974025974026,2022-04-14 00:00:00,Basic Materials
